Patch,Original,Category,Tool,DIFF,COMP,Detected,Fixed,Consistent,sanity_check,mitigates,patch_link,original_link,diff_link,exploit_link
mycontract.sol,mycontract.sol,access_control,sGuard,True,True,1.0,1.0,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuard/access_control/mycontract/mycontract.sol,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/mycontract.sol,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuard/access_control/mycontract/mycontract.diff,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/mycontract_test.js
simple_suicide.sol,simple_suicide.sol,access_control,sGuardPlus,True,True,1.0,1.0,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/access_control/simple_suicide/simple_suicide.sol,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/simple_suicide.sol,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/access_control/simple_suicide/simple_suicide.diff,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/simple_suicide_test.js
incorrect_constructor_name2_4round.sol,incorrect_constructor_name2.sol,access_control,SolGPT,True,True,0.0,0.0,False,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/access_control/incorrect_constructor_name2/incorrect_constructor_name2_4round.sol,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/incorrect_constructor_name2.sol,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/access_control/incorrect_constructor_name2/incorrect_constructor_name2_4round.diff,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/incorrect_constructor_name2_test.js
wallet_02_refund_nosub_2round.sol,wallet_02_refund_nosub.sol,access_control,SolGPT,True,True,0.0,0.0,False,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/access_control/wallet_02_refund_nosub/wallet_02_refund_nosub_2round.sol,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/wallet_02_refund_nosub.sol,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/access_control/wallet_02_refund_nosub/wallet_02_refund_nosub_2round.diff,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/wallet_02_refund_nosub_test.js
simple_suicide.sol,simple_suicide.sol,access_control,SmartFix,True,True,2.0,2.0,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SmartFix/access_control/simple_suicide/simple_suicide.sol,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/simple_suicide.sol,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SmartFix/access_control/simple_suicide/simple_suicide.diff,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/simple_suicide_test.js
mycontract_2round.sol,mycontract.sol,access_control,SolGPT,True,True,1.0,1.0,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/access_control/mycontract/mycontract_2round.sol,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/mycontract.sol,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/access_control/mycontract/mycontract_2round.diff,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/mycontract_test.js
proxy_4round.sol,proxy.sol,access_control,SolGPT,True,True,1.0,1.0,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/access_control/proxy/proxy_4round.sol,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/proxy.sol,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/access_control/proxy/proxy_4round.diff,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/proxy_test.js
incorrect_constructor_name1_4round.sol,incorrect_constructor_name1.sol,access_control,SolGPT,True,True,0.0,0.0,False,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/access_control/incorrect_constructor_name1/incorrect_constructor_name1_4round.sol,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/incorrect_constructor_name1.sol,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/access_control/incorrect_constructor_name1/incorrect_constructor_name1_4round.diff,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/incorrect_constructor_name1_test.js
wallet_02_refund_nosub.sol,wallet_02_refund_nosub.sol,access_control,SmartFix,True,True,2.0,2.0,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SmartFix/access_control/wallet_02_refund_nosub/wallet_02_refund_nosub.sol,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/wallet_02_refund_nosub.sol,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SmartFix/access_control/wallet_02_refund_nosub/wallet_02_refund_nosub.diff,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/wallet_02_refund_nosub_test.js
mycontract_3round.sol,mycontract.sol,access_control,SolGPT,True,True,1.0,1.0,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/access_control/mycontract/mycontract_3round.sol,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/mycontract.sol,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/access_control/mycontract/mycontract_3round.diff,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/mycontract_test.js
