patch,report
unchecked_low_level_calls/0xe894d54dca59cb53fe9cbc5155093605c7068220/0xe894d54dca59cb53fe9cbc5155093605c7068220_4round.sol,unchecked_low_level_calls/0xe894d54dca59cb53fe9cbc5155093605c7068220/0xe894d54dca59cb53fe9cbc5155093605c7068220_4round_vulns_Medium.json
unchecked_low_level_calls/0xe894d54dca59cb53fe9cbc5155093605c7068220/0xe894d54dca59cb53fe9cbc5155093605c7068220_2round.sol,unchecked_low_level_calls/0xe894d54dca59cb53fe9cbc5155093605c7068220/0xe894d54dca59cb53fe9cbc5155093605c7068220_2round_vulns_Medium.json
unchecked_low_level_calls/0xe894d54dca59cb53fe9cbc5155093605c7068220/0xe894d54dca59cb53fe9cbc5155093605c7068220_1round.sol,unchecked_low_level_calls/0xe894d54dca59cb53fe9cbc5155093605c7068220/0xe894d54dca59cb53fe9cbc5155093605c7068220_1round_vulns_Medium.json
unchecked_low_level_calls/0xe894d54dca59cb53fe9cbc5155093605c7068220/0xe894d54dca59cb53fe9cbc5155093605c7068220_3round.sol,unchecked_low_level_calls/0xe894d54dca59cb53fe9cbc5155093605c7068220/0xe894d54dca59cb53fe9cbc5155093605c7068220_3round_vulns_Medium.json
unchecked_low_level_calls/0x958a8f594101d2c0485a52319f29b2647f2ebc06/0x958a8f594101d2c0485a52319f29b2647f2ebc06_1round.sol,unchecked_low_level_calls/0x958a8f594101d2c0485a52319f29b2647f2ebc06/0x958a8f594101d2c0485a52319f29b2647f2ebc06_1round_vulns_Medium.json
unchecked_low_level_calls/0x958a8f594101d2c0485a52319f29b2647f2ebc06/0x958a8f594101d2c0485a52319f29b2647f2ebc06_4round.sol,unchecked_low_level_calls/0x958a8f594101d2c0485a52319f29b2647f2ebc06/0x958a8f594101d2c0485a52319f29b2647f2ebc06_4round_vulns_Medium.json
unchecked_low_level_calls/0x958a8f594101d2c0485a52319f29b2647f2ebc06/0x958a8f594101d2c0485a52319f29b2647f2ebc06_2round.sol,unchecked_low_level_calls/0x958a8f594101d2c0485a52319f29b2647f2ebc06/0x958a8f594101d2c0485a52319f29b2647f2ebc06_2round_vulns_Medium.json
unchecked_low_level_calls/0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152/0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152_2round.sol,unchecked_low_level_calls/0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152/0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152_2round_vulns_Medium.json
unchecked_low_level_calls/0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152/0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152_3round.sol,unchecked_low_level_calls/0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152/0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152_3round_vulns_Medium.json
unchecked_low_level_calls/0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152/0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152_1round.sol,unchecked_low_level_calls/0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152/0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152_1round_vulns_Medium.json
unchecked_low_level_calls/0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152/0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152_4round.sol,unchecked_low_level_calls/0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152/0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152_4round_vulns_Medium.json
unchecked_low_level_calls/0xf29ebe930a539a60279ace72c707cba851a57707/0xf29ebe930a539a60279ace72c707cba851a57707_1round.sol,unchecked_low_level_calls/0xf29ebe930a539a60279ace72c707cba851a57707/0xf29ebe930a539a60279ace72c707cba851a57707_1round_vulns_Medium.json
unchecked_low_level_calls/0xf29ebe930a539a60279ace72c707cba851a57707/0xf29ebe930a539a60279ace72c707cba851a57707_2round.sol,unchecked_low_level_calls/0xf29ebe930a539a60279ace72c707cba851a57707/0xf29ebe930a539a60279ace72c707cba851a57707_2round_vulns_Medium.json
unchecked_low_level_calls/0xf29ebe930a539a60279ace72c707cba851a57707/0xf29ebe930a539a60279ace72c707cba851a57707_3round.sol,unchecked_low_level_calls/0xf29ebe930a539a60279ace72c707cba851a57707/0xf29ebe930a539a60279ace72c707cba851a57707_3round_vulns_Medium.json
unchecked_low_level_calls/0xf29ebe930a539a60279ace72c707cba851a57707/0xf29ebe930a539a60279ace72c707cba851a57707_4round.sol,unchecked_low_level_calls/0xf29ebe930a539a60279ace72c707cba851a57707/0xf29ebe930a539a60279ace72c707cba851a57707_4round_vulns_Medium.json
unchecked_low_level_calls/0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77/0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77_4round.sol,unchecked_low_level_calls/0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77/0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77_4round_vulns_Medium.json
unchecked_low_level_calls/0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77/0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77_2round.sol,unchecked_low_level_calls/0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77/0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77_2round_vulns_Medium.json
unchecked_low_level_calls/0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77/0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77_3round.sol,unchecked_low_level_calls/0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77/0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77_3round_vulns_Medium.json
unchecked_low_level_calls/0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77/0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77_1round.sol,unchecked_low_level_calls/0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77/0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77_1round_vulns_Medium.json
unchecked_low_level_calls/0xa1fceeff3acc57d257b917e30c4df661401d6431/0xa1fceeff3acc57d257b917e30c4df661401d6431_2round.sol,unchecked_low_level_calls/0xa1fceeff3acc57d257b917e30c4df661401d6431/0xa1fceeff3acc57d257b917e30c4df661401d6431_2round_vulns_Medium.json
unchecked_low_level_calls/0xa1fceeff3acc57d257b917e30c4df661401d6431/0xa1fceeff3acc57d257b917e30c4df661401d6431_3round.sol,unchecked_low_level_calls/0xa1fceeff3acc57d257b917e30c4df661401d6431/0xa1fceeff3acc57d257b917e30c4df661401d6431_3round_vulns_Medium.json
unchecked_low_level_calls/0xa1fceeff3acc57d257b917e30c4df661401d6431/0xa1fceeff3acc57d257b917e30c4df661401d6431_4round.sol,unchecked_low_level_calls/0xa1fceeff3acc57d257b917e30c4df661401d6431/0xa1fceeff3acc57d257b917e30c4df661401d6431_4round_vulns_Medium.json
unchecked_low_level_calls/0xa1fceeff3acc57d257b917e30c4df661401d6431/0xa1fceeff3acc57d257b917e30c4df661401d6431_1round.sol,unchecked_low_level_calls/0xa1fceeff3acc57d257b917e30c4df661401d6431/0xa1fceeff3acc57d257b917e30c4df661401d6431_1round_vulns_Medium.json
